Name,Type,Constraint_Type,Constraint_Value,Constraint_Unit,Constraint_Priority,Evaluation_Type,Objective_Value,Objective_Unit,Objective_Type
PTV36_25,PTV,D,95,%,1,>=,0.95,%,Mandatory
PTV36_25,PTV,D,98,%,2,>=,0.95,%,Optimal
PTV36_25,PTV,D,Max,Gy,3,<,38.8,Gy,Mandatory
CTV36_25,CTV,D,98,%,1,>=,0.95,%,Mandatory
CTV36_25,CTV,D,98,%,2,>=,0.98,%,Optimal
PTV30,PTV,D,95,%,1,>=,0.95,%,Mandatory
CTV30,CTV,D,99,%,1,>=,0.95,%,Mandatory
PTV25,PTV,D,95,%,1,>=,0.95,%,Mandatory
CTV25,CTV,D,99,%,1,>=,0.95,%,Mandatory
Bladder,Avoidance,V,35,Gy,1,<=,0.03,%,Optimal
Bladder,Avoidance,V,35,Gy,1,<=,0.04,%,Mandatory
Bladder,Avoidance,V,31.5,Gy,2,<=,0.05,%,Optimal
Bladder,Avoidance,V,31.5,Gy,2,<=,0.08,%,Mandatory
Bladder,Avoidance,V,28,Gy,3,<=,0.07,%,Optimal
Bladder,Avoidance,V,28,Gy,3,<=,0.10,%,Mandatory
Bladder,Avoidance,V,17.5,Gy,4,<=,0.15,%,Optimal
Bladder,Avoidance,V,17.5,Gy,4,<=,0.20,%,Mandatory
Bladder,Avoidance,V,14,Gy,5,<=,0.25,%,Optimal
Bladder,Avoidance,V,14,Gy,5,<=,0.35,%,Mandatory
Anorectum,Avoidance,V,35,Gy,1,<=,0.03,%,Optimal
Anorectum,Avoidance,V,35,Gy,1,<=,0.05,%,Mandatory
Anorectum,Avoidance,V,31.5,Gy,2,<=,0.08,%,Optimal
Anorectum,Avoidance,V,31.5,Gy,2,<=,0.10,%,Mandatory
Anorectum,Avoidance,V,28,Gy,3,<=,0.10,%,Optimal
Anorectum,Avoidance,V,28,Gy,3,<=,0.15,%,Mandatory
Anorectum,Avoidance,V,17.5,Gy,4,<=,0.30,%,Optimal
Anorectum,Avoidance,V,17.5,Gy,4,<=,0.35,%,Mandatory
Anorectum,Avoidance,V,14,Gy,5,<=,0.40,%,Optimal
Anorectum,Avoidance,V,14,Gy,5,<=,0.45,%,Mandatory
Small_Bowel,Avoidance,V,25,Gy,1,<,90,cc,Mandatory
Small_Bowel,Avoidance,V,27.5,Gy,2,<,2,cc,Mandatory
Small_Bowel,Avoidance,V,28,Gy,3,<,80,cc,Mandatory
Femur_Head_R,Avoidance,V,14,Gy,1,<,0.05,%,Mandatory
Femur_Head_L,Avoidance,V,14,Gy,1,<,0.05,%,Mandatory
