Name,Type,Constraint_Type,Constraint_Value,Constraint_Unit,Constraint_Priority,Evaluation_Type,Objective_Value,Objective_Unit,Objective_Type
PTV 36.25,PTV,D,95,%,1,>=,0.95,%,Mandatory
PTV 36.25,PTV,D,99,%,2,>,0.95,%,Mandatory
PTV 36.25,PTV,D,99,%,3,>=,0.99,%,Optimal
PTV 36.25,PTV,D,Max,Gy,4,<,38.79,Gy,Mandatory
CTV 36.25,CTV,D,Min,Gy,1,,,Gy,
CTV 36.25,CTV,D,99,%,2,>=,0.95,%,Mandatory
Bladder,Avoidance,V,36.25,Gy,1,<=,0.02,%,Optimal
Bladder,Avoidance,V,36.25,Gy,1,<=,0.15,cc,Optimal
Bladder,Avoidance,V,36.25,Gy,2,<=,0.05,%,Mandatory
Bladder,Avoidance,V,32,Gy,3,<=,0.15,%,Optimal
Bladder,Avoidance,V,32,Gy,3,<=,0.20,%,Mandatory
Bladder,Avoidance,V,28,Gy,4,<=,0.30,%,Optimal
Bladder,Avoidance,V,28,Gy,4,<=,0.35,%,Mandatory
Bladder,Avoidance,V,24,Gy,5,<=,0.45,%,Optimal
Bladder,Avoidance,V,24,Gy,5,<=,0.55,%,Mandatory
Bladder,Avoidance,V,20,Gy,6,<=,0.55,%,Optimal
Bladder,Avoidance,V,20,Gy,6,<=,0.65,%,Mandatory
Bladder,Avoidance,V,15,Gy,7,<=,0.70,%,Optimal
Bladder,Avoidance,V,15,Gy,7,<=,0.80,%,Mandatory
Bladder,Avoidance,V,10,Gy,8,<=,0.80,%,Optimal
Bladder,Avoidance,V,10,Gy,8,<=,0.90,%,Mandatory
Anorectum,Avoidance,V,36.25,Gy,1,<=,0.02,%,Optimal
Anorectum,Avoidance,V,36.25,Gy,2,<=,0.05,%,Mandatory
Anorectum,Avoidance,V,32,Gy,3,<=,0.10,%,Optimal
Anorectum,Avoidance,V,32,Gy,3,<=,0.15,%,Mandatory
Anorectum,Avoidance,V,28,Gy,4,<=,0.20,%,Optimal
Anorectum,Avoidance,V,28,Gy,4,<=,0.097,cc,Optimal
Anorectum,Avoidance,V,28,Gy,4,<=,0.30,%,Mandatory
Anorectum,Avoidance,V,24,Gy,5,<=,0.40,%,Optimal
Anorectum,Avoidance,V,24,Gy,5,<=,0.159,cc,Optimal
Anorectum,Avoidance,V,24,Gy,5,<=,0.50,%,Mandatory
Anorectum,Avoidance,V,20,Gy,6,<=,0.50,%,Optimal
Anorectum,Avoidance,V,20,Gy,6,<=,0.60,%,Mandatory
Anorectum,Avoidance,V,15,Gy,7,<=,0.70,%,Optimal
Anorectum,Avoidance,V,15,Gy,7,<=,0.80,%,Mandatory
Anorectum,Avoidance,V,10,Gy,8,<=,0.85,%,Optimal
Anorectum,Avoidance,V,10,Gy,8,<=,0.95,%,Mandatory
Femur_Head_R,Avoidance,D,Max,Gy,3,<,35,Gy,Mandatory
Femur_Head_L,Avoidance,D,Max,Gy,3,<,35,Gy,Mandatory
PenileBulb,Avoidance,V,30,Gy,4,<=,0.50,%,Mandatory
Bag_Bowel,Avoidance,V,27,Gy,1,<=,0.30,%,Optimal
Bag_Bowel,Avoidance,V,30,Gy,2,<=,0.50,%,Mandatory
