Name,Type,Constraint_Type,Constraint_Value,Constraint_Unit,Constraint_Priority,Evaluation_Type,Objective_Value,Objective_Unit,Objective_Type
PTV62,PTV,D,95,%,1,>=,0.95,%,Mandatory
PTV62,PTV,D,99,%,2,>,0.95,%,Mandatory
PTV62,PTV,D,99,%,3,>=,0.99,%,Optimal
PTV62,PTV,D,Max,Gy,4,<,66.34,Gy,Mandatory
CTV62,CTV,D,Min,Gy,1,,,Gy,
CTV62,CTV,D,99,%,2,>=,0.95,%,Mandatory
Bladder,Avoidance,V,59,Gy,1,<=,0.02,%,Optimal
Bladder,Avoidance,V,59,Gy,1,<=,0.236,cc,Optimal
Bladder,Avoidance,V,59,Gy,2,<=,0.03,%,Mandatory
Bladder,Avoidance,V,56,Gy,3,<=,0.08,%,Optimal
Bladder,Avoidance,V,56,Gy,3,<=,0.381,cc,Optimal
Bladder,Avoidance,V,56,Gy,3,<=,0.10,%,Mandatory
Bladder,Avoidance,V,53,Gy,4,<=,0.25,%,Optimal
Bladder,Avoidance,V,53,Gy,4,<=,0.30,%,Mandatory
Bladder,Avoidance,V,47,Gy,5,<=,0.35,%,Optimal
Bladder,Avoidance,V,47,Gy,5,<=,0.45,%,Mandatory
Bladder,Avoidance,V,40,Gy,6,<=,0.45,%,Optimal
Bladder,Avoidance,V,40,Gy,6,<=,0.55,%,Mandatory
Bladder,Avoidance,V,32,Gy,7,<=,0.55,%,Optimal
Bladder,Avoidance,V,32,Gy,7,<=,0.65,%,Mandatory
Bladder,Avoidance,V,24,Gy,8,<=,0.70,%,Optimal
Bladder,Avoidance,V,24,Gy,8,<=,0.80,%,Mandatory
Bladder,Avoidance,V,15,Gy,9,<=,0.80,%,Optimal
Bladder,Avoidance,V,15,Gy,9,<=,0.90,%,Mandatory
Bladder,Avoidance,V,10,Gy,10,<=,0.90,%,Optimal
Bladder,Avoidance,V,10,Gy,10,<=,0.95,%,Mandatory
Anorectum,Avoidance,V,59,Gy,1,<=,0.02,%,Optimal
Anorectum,Avoidance,V,59,Gy,2,<=,0.03,%,Mandatory
Anorectum,Avoidance,V,56,Gy,3,<=,0.08,%,Optimal
Anorectum,Avoidance,V,56,Gy,3,<=,0.12,%,Mandatory
Anorectum,Avoidance,V,53,Gy,4,<=,0.20,%,Optimal
Anorectum,Avoidance,V,53,Gy,4,<=,0.097,cc,Optimal
Anorectum,Avoidance,V,53,Gy,4,<=,0.25,%,Mandatory
Anorectum,Avoidance,V,47,Gy,5,<=,0.35,%,Optimal
Anorectum,Avoidance,V,47,Gy,5,<=,0.159,cc,Optimal
Anorectum,Avoidance,V,47,Gy,5,<=,0.45,%,Mandatory
Anorectum,Avoidance,V,40,Gy,6,<=,0.45,%,Optimal
Anorectum,Avoidance,V,40,Gy,6,<=,0.55,%,Mandatory
Anorectum,Avoidance,V,32,Gy,7,<=,0.55,%,Optimal
Anorectum,Avoidance,V,32,Gy,7,<=,0.65,%,Mandatory
Anorectum,Avoidance,V,24,Gy,8,<=,0.65,%,Optimal
Anorectum,Avoidance,V,24,Gy,8,<=,0.75,%,Mandatory
Anorectum,Avoidance,V,15,Gy,9,<=,0.80,%,Optimal
Anorectum,Avoidance,V,15,Gy,9,<=,0.90,%,Mandatory
Anorectum,Avoidance,V,10,Gy,10,<=,0.90,%,Optimal
Anorectum,Avoidance,V,10,Gy,10,<=,0.95,%,Mandatory
Femur_Head_R,Avoidance,D,Max,Gy,3,<,40,Gy,Mandatory
Femur_Head_L,Avoidance,D,Max,Gy,3,<,40,Gy,Mandatory
PenileBulb,Avoidance,V,47,Gy,4,<=,0.50,%,Mandatory
Bag_Bowel,Avoidance,V,45,Gy,1,<=,0.30,%,Optimal
Bag_Bowel,Avoidance,V,50,Gy,2,<=,0.50,%,Mandatory
