Structure_Name,Constraint_Type,Metric,Patient_Class,Optimal_Value,Mandatory_Value,Unit
PTV62,D,D95,N0,0.95,0.95,pct
PTV62,D,D98,N0,0.95,0.95,pct
PTV62,D,D98_optimal,N0,0.95,0.95,pct
PTV62,D,Max,N0,,66.34,Gy
CTV62,D,D98,N0,0.95,0.95,pct
CTV62,D,D98_optimal,N0,0.98,0.98,pct
PTV44,D,D95,N0,0.95,0.95,pct
PTV44,D,D99,N0,,, 
CTV44,D,MinDose,N0,,,
CTV44,D,D99,N0,0.95,0.95,pct
PTV55,D,D95,N0,0.95,0.95,pct
CTV55,D,D99,N0,0.95,0.95,pct
Bladder,V,V60.4Gy,N0,0.03,0.05,pct
Bladder,V,V56Gy,N0,0.08,0.10,pct
Bladder,V,V47Gy,N0,0.10,0.14,pct
Bladder,V,V38Gy,N0,0.20,0.25,pct
Bladder,V,V28.6Gy,N0,0.25,0.35,pct
Bladder,V,V60.4Gy,N+,0.03,0.05,pct
Bladder,V,V56Gy,N+,0.10,0.13,pct
Bladder,V,V47Gy,N+,0.20,0.25,pct
Bladder,V,V38Gy,N+,0.40,0.45,pct
Bladder,V,V28.6Gy,N+,0.55,0.65,pct
Anorectum,V,V60.4Gy,N0,0.03,0.05,pct
Anorectum,V,V56Gy,N0,0.12,0.15,pct
Anorectum,V,V47Gy,N0,0.20,0.25,pct
Anorectum,V,V38Gy,N0,0.30,0.40,pct
Anorectum,V,V28.6Gy,N0,0.45,0.55,pct
Anorectum,V,V60.4Gy,N+,0.03,0.05,pct
Anorectum,V,V56Gy,N+,0.12,0.15,pct
Anorectum,V,V47Gy,N+,0.25,0.30,pct
Anorectum,V,V38Gy,N+,0.40,0.45,pct
Anorectum,V,V28.6Gy,N+,0.65,0.75,pct
Small_Bowel,V,V47Gy,N0,,80,cc
Small_Bowel,V,V47Gy,N+,,80,cc
Femoral_Heads,V,V40Gy,N0,,0.50,pct
Femoral_Heads,V,V40Gy,N+,,0.50,pct
